Subject,Property,Object
Heroes,mo:duration,6.10 minutes
Heroes,schema:inLanguage,English
Heroes,schema:productionDate,11/07/1977-05/08/1977 
Heroes,rdfs:type,song
Heroes,schema:productionCompany,Hansa Tonstudio 2   
Heroes,schema:author,David Bowie
Heroes,schema:composer,David Bowie
Heroes,schema:composer,Brian Eno
Heroes,mo:publisher,BMG songs
Heroes,mo:musicbrainz_guid,f0a4ed57-10e0-4c37-81b4-36311dc7d4b6
Heroes,schema:inAlbum,Heroes
Heroes,schema:about,Berlin Wall
