Property,LCDRG,Schema.org,MODS,LIDO,CCO,ISBD,MusicBrainz Terminology
Contributor,"Personal Contributor, Personal Contributor Type",contributor,<name> / <role> / <roleTerm>,<eventWrap> / <eventSet> / <event> / <eventType> / <eventActor> / <role>,"Creator Display, Creator Extent",,
Creator,Creating individual,creator,<name> <namePart>,<eventWrap> / <eventSet> / <event> / <eventType> / <eventActor> / <role>,Role,,
